0	!	-0.21624808	-0.03498792	1.1921353	-0.21450174	0.03890017	0.99446535	0.35954365	-0.76943743	0.56543094	-0.29893297	-2.6795013	-1.57557	-2.1764102	-0.7267592	-1.2133099	-0.7656981	0.63338125	-0.7591772	0.1276002	-0.41057396
1	#11	-3.1079028	-4.152371	-6.461714	2.2727058	-3.027638	1.770521	3.51411	-1.9881705	-0.1436001	-6.1676865	-2.0364914	-9.109688	-7.1769085	4.2143903	-9.946864	6.5505414	7.5698824	0.40339893	1.743361	8.977927
2	$1	6.920444	10.306353	-5.0226274	3.5194457	-4.796201	10.04669	5.298485	-3.162647	-10.246734	5.2246466	-2.2761323	-3.7013545	0.041727107	4.04499	-5.540865	6.588347	-4.890518	2.6982756	-0.07237861	1.9896681
3	$5,000	2.375208	0.4758215	-4.0530043	5.8740997	-0.9186307	6.009578	-0.9712494	-4.636619	-3.3844054	3.8564734	5.4510894	-3.479652	-6.0788026	6.212292	0.05152494	-1.6582676	-5.5411572	-1.9551178	-6.6793814	-5.232672
4	(	-2.1311295	1.5823659	-0.37721506	0.7734105	-1.0940194	0.28132626	1.2213528	-0.81650573	1.0781802	0.28002602	-0.96312684	1.0431781	-0.27587098	-0.7808884	-2.0465174	1.5576665	-0.47518647	-1.7073537	1.1780057	1.1015961
5	)	-0.60977167	-0.48992407	-1.1485223	1.3289146	-1.0658736	1.7278413	0.01589751	-1.1498114	-0.050732203	0.74526924	-0.060280625	0.75102127	-0.7771378	0.13181622	-0.38561374	1.0980686	1.2538532	-0.09072322	0.21465799	-0.5639186
6	*	-2.082414	-2.129953	-1.6953087	0.6689096	0.2798907	-0.20212682	-0.07407537	-3.7038367	2.205509	2.9348874	-0.5767665	2.0419173	-1.569686	1.9313606	-2.452342	-0.1288447	2.1282825	-1.8251349	-1.5232846	-3.014251
7	,	-0.8834608	1.0143698	0.2339574	0.38748968	0.59401906	1.1852943	-0.43968374	-2.1262517	-0.8578703	0.052199274	-1.7885092	-0.87902796	-0.6877471	0.7209622	-1.0474946	-0.7458035	0.19834691	-1.2606505	1.2221982	1.0053408
8	-	-1.1391596	-0.59833205	-0.57720804	-0.7537719	1.2078458	0.82053864	2.413229	0.2825595	-0.9844282	0.64224046	-0.6491744	-0.75859386	-1.685321	0.76424533	-3.4391205	-0.018201984	0.40596128	0.24014474	0.31881562	-0.04888306
9	.	-0.8380049	-0.37760183	-0.9486502	-0.69428134	-0.7727699	-0.3813968	-0.89129865	-1.3798877	0.03697786	0.073251136	-2.0649986	-1.636334	-1.9642489	0.31876126	-1.2008884	-0.20262402	1.3222575	-0.043611027	-0.27565786	-0.6143636
10	.1	-3.8428104	-0.718059	-1.9584879	-0.28928745	2.3339365	0.81938857	0.6700575	-0.28556174	-2.7216554	0.44476533	-1.2263345	-1.8090527	1.82469	-1.1148465	0.48757294	-3.788804	1.3799964	0.27513647	-3.7917697	0.94123244
11	.2	-1.1142664	-1.3941147	-2.2274947	1.4584816	1.6550474	1.9203764	-0.6019579	-0.26323205	-2.816731	1.9713701	0.89337456	0.41118246	1.47108	0.26699302	-1.1385323	-2.7015853	2.855687	0.22261319	-1.5016948	0.6635173
12	.3	-0.12222906	-2.0205147	-2.5252993	0.6148694	0.39552948	0.59978044	-1.0324788	-0.78817075	-3.0118275	1.4304607	0.7840167	0.07292421	1.0489892	0.19501537	-2.3857837	-2.0521762	2.7454908	0.9671376	-1.3861822	-0.5673666
13	.4	-1.1268884	-1.3972656	-2.2075212	1.4404361	1.6237518	1.9004514	-0.598032	-0.26504996	-2.7956996	1.9778222	0.89067805	0.44262084	1.4681488	0.26511896	-1.1296102	-2.6793528	2.8298476	0.22485617	-1.4870263	0.65956295
14	.5	-1.1251844	-1.3991452	-2.230069	1.4527593	1.6578524	1.9211516	-0.5899411	-0.2568458	-2.8134253	1.9723796	0.8847825	0.38936526	1.4675777	0.25654927	-1.1376528	-2.7000198	2.8430574	0.22113311	-1.5135531	0.6604037
15	.6	-1.126122	-1.4010981	-2.2171319	1.4610251	1.6373558	1.8993005	-0.6040037	-0.2641331	-2.802379	1.9722304	0.89702624	0.42826864	1.472366	0.26018125	-1.135329	-2.6968024	2.852955	0.21578915	-1.4792283	0.6698112
16	.7	-2.4421988	-1.7781061	-1.716616	0.7902879	1.0419201	2.1475494	0.8314302	-0.38586015	-1.0707208	1.4265115	0.5627247	0.43776104	0.43788278	0.21939124	-3.3276772	-1.6651618	1.3370702	-1.1480778	-0.7433995	1.139046
