0	!	1.5668159	3.455972	7.7874246	-1.5671567	-1.8537483
1	#11	0.34555203	0.36936715	0.575875	-0.30042404	-0.29546958
2	$1	1.06199	-0.8429365	-0.60764533	0.18779795	4.6168847
3	$5,000	-1.4935582	1.4081192	-5.9501896	3.1170297	-1.7192189
4	(	1.1410571	-1.8230791	4.4376335	-2.413226	0.85211515
5	)	2.3148048	-0.30090913	2.1540253	-1.4665259	4.055618
6	*	-9.487941	-10.678868	6.876173	-3.4302795	-20.953579
7	,	0.10102435	2.292172	7.5662756	-0.5776676	-1.0609044
8	-	-0.43081057	0.23424582	4.465005	-2.431572	-8.663002
9	.	-1.4543767	1.379383	10.555571	-0.845495	-3.512056
10	.1	-1.5101553	1.3358732	-2.9700634	3.2932675	2.504889
11	.2	0.32945377	0.51077497	-4.163728	1.9452058	4.2177634
12	.3	1.7632641	0.9015846	-4.2420444	1.8719969	8.904296
13	.4	-0.014967265	0.33205587	-4.0411887	2.1386003	4.268072
14	.5	0.23731211	0.41278088	-4.2194233	1.963343	4.286105
15	.6	0.26787764	0.4594986	-4.3096566	1.9216365	4.3231
16	.7	-2.5684712	2.1247692	-1.1932834	2.9114337	-3.1069453
17	.8	-1.2997271	1.6550752	-3.9589384	3.0341413	0.8196935
18	.9	-0.72555745	0.9570555	-4.4094687	2.9282904	3.589105
19	/	-1.1596408	-1.4554486	-0.12654372	-1.5435618	-7.8092666
20	0	3.512493	0.9045858	-4.356283	-1.0021272	2.617636
21	1	5.1354012	0.6922139	-6.481805	-2.1373763	3.234817
22	11	-0.9650241	1.771417	-0.22721148	0.5468394	-5.2800093
23	1500	-0.49178565	1.9435375	-2.0215886	1.747031	0.5477378
24	1887	4.4970684	1.771699	-5.5670705	-1.2172827	2.4173193
25	1994	0.5513394	-4.3971434	-0.24114785	-2.6371825	-0.7485405
26	2	0.7464866	-0.3858183	-3.66593	0.9104702	4.1170106
27	20%	-3.5293968	-1.597384	-14.5611725	4.5412807	-3.485925
28	2001	-1.6731857	-8.886661	-12.321948	0.67965615	4.488858
29	2008	2.881765	-0.18789627	1.2395406	-2.3094416	1.8656054
30	2016	2.2615037	-0.96760935	0.3558801	-2.2027333	1.0480961
31	25	1.133976	-0.37254062	-3.3145828	0.5633937	4.215284
32	3	1.4718679	1.9970349	-1.637924	0.3803908	1.5075049
33	3.0	0.24936865	0.46893024	1.9612837	-0.44876185	-0.7741867
34	30	-0.20031808	0.49943137	-0.59813	0.7111998	0.54294664
35	4	1.2879866	0.18952486	-2.8666885	0.72350425	4.5556073
36	4557	0.24444519	-0.7783516	-3.9548182	0.079007894	-0.3547184
37	5	0.7236685	-0.45030305	-3.5155482	0.86749345	4.066068
38	50	-2.25887	-1.3661909	-3.1083276	0.98652864	-3.9216824
39	501	0.09746312	2.6063206	1.9856931	0.95669985	0.55894345
40	596	-0.9716674	0.6083369	0.76926464	-1.2036813	-9.488954
41	6	1.1114501	-0.5131429	-3.239871	0.5957944	4.6149635
42	60	-0.40135592	0.49923757	-0.8390579	0.7952437	0.35785156
43	6221541	3.593797	0.82584864	-5.238445	-1.0712062	2.038333
44	64	-6.2234406	0.71234417	1.5989165	2.378741	-15.115614
45	8	-0.18329275	-1.6499188	1.5136786	-2.4614558	-6.4094486
46	801	0.819334	1.4918016	-1.1126318	0.020805938	-1.5138985
47	809	0.06279606	-0.510062	-3.554126	0.22807771	-0.37906936
48	84116	1.0654731	-0.51211256	-3.2450135	0.46528763	4.4095445
49	90	-0.15069187	0.76397526	-0.9790624	0.7736482	0.48859972
50	99712	4.739877	-1.5241376	-0.16346425	-2.614432	8.063857
51	:	-1.7140492	0.26943457	8.398074	-0.5136113	-2.7924638
52	;	-1.235779	1.5565786	10.341295	-0.58112955	-2.1034005
53	?	2.3757184	4.3581653	4.4397016	-0.87765616	-0.73281556
54	@	-0.14794405	0.5455156	0.092675045	0.123522624	-0.95222574
55	[	2.3283646	-1.5000718	8.7465105	-4.2096896	0.78572935
56	]	0.63309044	0.0016493879	12.985417	-4.1091137	-5.0116754
