0	 !	1.1042317	4.619801
1	 #11	-0.005161602	-0.13701501
2	 $1	-0.007933049	-0.4889353
3	 $5,000	-0.1921379	-1.119892
4	 (	0.70204794	2.838997
5	 )	0.4543498	1.7537009
6	 *	5.171403	22.577156
7	 ,	0.78291994	3.2252562
8	 -	0.875429	3.5707538
9	 .	1.1901706	5.009519
10	 .1	-0.45009786	-2.0100775
11	 .2	-0.48787186	-2.2735374
12	 .3	-0.52652955	-2.4306045
13	 .4	-0.4818611	-2.292108
14	 .5	-0.46973345	-2.3022373
15	 .6	-0.4969299	-2.2819424
16	 .7	-0.17783321	-0.92104936
17	 .8	-0.38127667	-1.7881821
18	 .9	-0.44254243	-2.292162
19	 /	0.04471218	0.09887453
20	 0	-0.022532912	-0.57684064
21	 1	-0.26194787	-1.515958
22	 11	0.06647415	-0.022092897
23	 1500	-18.636208	19.841904
24	 1887	0.06628898	-0.48940265
25	 1994	0.4466872	1.7358891
26	 2	-0.39091972	-1.9740564
27	 20%	-0.9676575	-4.694027
28	 2001	-0.86159897	-4.322342
29	 2008	0.43831083	1.5114738
30	 2016	0.1934085	0.6213116
31	 25	-0.17059486	-0.8720821
32	 3	0.005497552	-0.18520857
33	 3.0	0.24209617	1.0001789
34	 30	-0.037694957	-0.07768151
35	 4	-0.3630986	-1.7731224
36	 4557	-0.5675061	-2.4535334
37	 5	-0.3532636	-1.8196422
38	 50	-0.27087393	-1.5408372
39	 501	0.05089091	0.06357835
40	 596	0.6039269	2.4459739
41	 6	-0.17148225	-0.7441857
42	 60	-0.027069492	-0.23195289
43	 6221541	0.04888858	-0.36416563
44	 64	0.42526332	1.3504736
45	 8	1.0491837	4.452105
46	 801	0.17349507	0.5428191
47	 809	-0.5308611	-2.3481417
48	 84116	-0.18844557	-1.0333666
49	 90	-0.064129554	-0.2657695
50	 99712	0.13952199	-0.232811
51	 :	0.88769907	3.6952572
52	 ;	1.1145332	4.6861134
53	 ?	1.0317184	4.2940927
54	 @	-0.016278572	-0.08177889
55	 [	1.8809224	7.935787
56	 ]	1.373263	5.9322515
57	 _	0.809867	3.2500467
58	 a	-0.58234334	-2.6152313
59	 a-piece	0.29365814	0.9765654
60	 abide	-0.086426415	-0.49259418
61	 able	-0.35653576	-2.00603
62	 about	0.167267	0.46085677
63	 above	0.42815873	1.6938618
64	 absence	-0.613817	-3.1516662
65	 absurd	-0.27140173	-1.4961728
66	 accept	0.13472253	0.013483106
67	 acceptance	-0.6380396	-3.1044674
68	 accepted	-0.10554204	-0.6335218
69	 accepting	-0.14740357	-0.67253983
70	 access	-0.25779566	-1.1867077
71	 accessed	-0.2612274	-1.6457188
72	 accessible	0.049539614	0.118972436
73	 accident	-1.2502172	-5.7547755
74	 accidentally	-0.10184881	-0.4604922
75	 accordance	-0.61331606	-2.9372241
76	 account	-0.6728541	-3.1665733
77	 accounting	-0.08153906	-0.5129952
78	 accounts	0.28886434	0.7518307
79	 accusation	-1.0808351	-4.895552
80	 accustomed	-3.3586211E-6	-0.41844377
81	 ache	-0.17626984	-0.90737486
82	 across	0.3654977	1.2385339
83	 act	-1.4000714	-6.4364476
84	 active	-0.79612184	-3.4482188
85	 actual	-0.57366616	-2.9509385
86	 actually	0.02321337	-0.0052930773
87	 ada	-0.31478968	-1.8552928
88	 added	0.22584608	0.60115874
89	 adding	-0.98747844	-4.965609
90	 addition	-0.59255993	-2.898212
91	 additional	-0.3074511	-1.4566973
92	 additions	-0.2456021	-1.2186886
93	 address	-0.459921	-1.9981236
94	 addressed	-0.13775885	-1.0274535
95	 addresses	-0.49623412	-3.0724967
96	 addressing	0.41053104	1.4368341
97	 adjourn	-0.18542291	-0.75600535
98	 adoption	-0.3562485	-1.5864823
99	 advance	0.11927914	0.28715923
100	 advantage	-0.5260312	-2.3531432
101	 adventures	-0.46292263	-2.378957
102	 advice	-0.12681714	-0.79902077
103	 advisable	0.37845355	1.1341643
104	 advise	0.85729957	3.4995866
105	 affair	-0.49938455	-2.5527558
106	 affectionately	-0.02919475	-0.2140803
107	 afford	-0.1530847	-1.081567
108	 afore	1.2627795	4.945999
109	 afraid	-0.2639594	-1.5037228
110	 after	0.4943098	1.9057596
111	 after-time	-2.3010461	-11.473653
112	 afterwards	-0.2837814	-1.4440504
